Category,Detail,Cost,Date,Month_period,WeekofYear,DayofWeek,Day_of_Week_Category,Month
Groceries,Bread,3.17,2023-01-14,Dec - Jan 23,2,5,Weekend,1
Groceries,Vegetables,4.5,2023-01-14,Dec - Jan 23,2,5,Weekend,1
Hobbies,Crossfit,35.0,2023-01-19,Dec - Jan 23,3,3,Weekday,1
Selfcare,Waxing,39.0,2023-01-20,Dec - Jan 23,3,4,Weekday,1
Healthcare,Medicine,3.62,2023-01-20,Dec - Jan 23,3,4,Weekday,1
Groceries,Groceries,14.25,2023-01-20,Dec - Jan 23,3,4,Weekday,1
Transport,Parking,0.2,2023-01-21,Dec - Jan 23,3,5,Weekend,1
Transport,Metro,22.7,2023-01-21,Dec - Jan 23,3,5,Weekend,1
Eating Out,Drinks,7.0,2023-01-21,Dec - Jan 23,3,5,Weekend,1
Groceries,Groceries,12.15,2023-01-22,Dec - Jan 23,3,6,Weekend,1
Eating Out,Churros,4.0,2023-01-22,Dec - Jan 23,3,6,Weekend,1
Shopping,Gift for mom,24.5,2023-01-22,Dec - Jan 23,3,6,Weekend,1
Groceries,Groceries,11.36,2023-01-22,Dec - Jan 23,3,6,Weekend,1
Transport,Fuel,20.01,2023-01-22,Dec - Jan 23,3,6,Weekend,1
Transport,Fuel,79.86,2023-01-23,Dec - Jan 23,4,0,Weekday,1
Selfcare,Druni,36.05,2023-01-23,Dec - Jan 23,4,0,Weekday,1
Rent + Bills,Phone,25.0,2023-01-25,Jan - Feb 23,4,2,Weekday,1
Rent + Bills,Google,1.88,2023-02-04,Jan - Feb 23,5,5,Weekend,2
Rent + Bills,Personal Liability Insurance,4.94,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Student Loan,Student Loan,82.43,2023-02-10,Jan - Feb 23,6,4,Weekday,2
Rent + Bills,UK Phone,10.0,2023-02-13,Jan - Feb 23,7,0,Weekday,2
Rent + Bills,Legal Insurance,35.0,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Hobbies,Norwegian,18.82,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Groceries,Groceries,29.45,2023-01-25,Jan - Feb 23,4,2,Weekday,1
Shopping,Chino,5.7,2023-01-25,Jan - Feb 23,4,2,Weekday,1
Travel,Flights,33.98,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Travel,Flights,40.65,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Groceries,Bread,4.18,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Transport,Car wash,9.95,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Healthcare,Pharmacy,13.52,2023-01-27,Jan - Feb 23,4,4,Weekday,1
Shopping,IKEA,60.0,2023-01-29,Jan - Feb 23,4,6,Weekend,1
Shopping,Decathlon,15.97,2023-01-29,Jan - Feb 23,4,6,Weekend,1
Groceries,Groceries,18.96,2023-01-31,Jan - Feb 23,5,1,Weekday,1
Shopping,IKEA,29.91,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Shopping,IKEA,5.49,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Shopping,Hollister,17.28,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Shopping,Druni,21.15,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Eating Out,Morrysom,25.7,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Eating Out,McDonald's,6.1,2023-02-01,Jan - Feb 23,5,2,Weekday,2
Transport,Car,79.41,2023-02-02,Jan - Feb 23,5,3,Weekday,2
Healthcare,Pill,53.59,2023-02-02,Jan - Feb 23,5,3,Weekday,2
Shopping,Bonet,25.5,2023-02-02,Jan - Feb 23,5,3,Weekday,2
Shopping,Boots,69.0,2023-02-02,Jan - Feb 23,5,3,Weekday,2
Groceries,Bread,1.44,2023-02-02,Jan - Feb 23,5,3,Weekday,2
Travel,Girona Lockers,8.0,2023-02-03,Jan - Feb 23,5,4,Weekday,2
Eating Out,Lunch,32.0,2023-02-03,Jan - Feb 23,5,4,Weekday,2
Travel,Train,26.5,2023-02-03,Jan - Feb 23,5,4,Weekday,2
Groceries,Groceries,8.94,2023-02-03,Jan - Feb 23,5,4,Weekday,2
Shopping,Amarula,15.7,2023-02-04,Jan - Feb 23,5,5,Weekend,2
Transport,Oslo ticket,30.19,2023-02-06,Jan - Feb 23,6,0,Weekday,2
Transport,Oslo ticket,30.5,2023-02-13,Jan - Feb 23,7,0,Weekday,2
Groceries,Groceries,10.0,2023-02-11,Jan - Feb 23,6,5,Weekend,2
Shopping,Vday gift,4.39,2023-02-14,Jan - Feb 23,7,1,Weekday,2
Groceries,Granola,2.51,2023-02-14,Jan - Feb 23,7,1,Weekday,2
Rent + Bills,Deutsche Post,30.9,2023-02-16,Jan - Feb 23,7,3,Weekday,2
Shopping,Vday gift,17.41,2023-02-14,Jan - Feb 23,7,1,Weekday,2
Eating Out,Beer,7.29,2023-02-19,Jan - Feb 23,7,6,Weekend,2
Groceries,Toiletries,22.05,2023-02-18,Jan - Feb 23,7,5,Weekend,2
Groceries,Cleaning materials,46.83,2023-02-18,Jan - Feb 23,7,5,Weekend,2
